# COCA master lexicon (ngrams.info coca_lexicon.txt, format #3), compacted.
# word<TAB>lemma<TAB>pos — pos: n noun · v verb · b be/aux · j adj · r adverb · i prep.
# First (highest-frequency) reading per surface form; top ~20k alphabetic forms.
answer	answer	n
waiting	wait	v
letter	letter	n
sun	sun	n
florida	florida	n
weapons	weapon	n
sales	sales	n
british	british	j
win	win	v
benefits	benefit	n
values	value	n
ball	ball	n
heavy	heavy	j
event	event	n
drugs	drug	n
goal	goal	n
along	along	i
powerful	powerful	j
democrats	democrat	n
sound	sound	n
author	author	n
troops	troop	n
heat	heat	n
leaving	leave	v
basic	basic	j
dinner	dinner	n
character	character	n
cars	car	n
lower	low	j
nuclear	nuclear	j
reality	reality	n
completely	completely	r
lost	lose	v
thomas	thomas	n
involved	involved	j
fell	fall	v
african	african	j
gas	gas	n
bit	bit	n
prices	price	n
source	source	n
term	term	n
budget	budget	n
design	design	n
mexico	mexico	n
degree	degree	n
johnson	johnson	n
election	election	n
rules	rule	n
happens	happen	v
easily	easily	r
subject	subject	n
seem	seem	v
rates	rate	n
written	write	v
sister	sister	n
angeles	angeles	n
africa	africa	n
dog	dog	n
edge	edge	n
box	box	n
shown	show	v
plants	plant	n
product	product	n
top	top	j
chair	chair	n
speak	speak	v
appears	appear	v
terms	terms	i
turns	turn	v
slowly	slowly	r
central	central	j
marriage	marriage	n
born	born	v
store	store	n
cup	cup	n
trip	trip	n
grew	grow	v
republicans	republican	n
hold	hold	v
basis	basis	n
fresh	fresh	j
association	association	n
us	us	n
mary	mary	n
afternoon	afternoon	n
page	page	n
generally	generally	r
normal	normal	j
base	base	n
standards	standard	n
presence	presence	n
income	income	n
seat	seat	n
player	player	n
break	break	n
direction	direction	n
concerned	concerned	j
concern	concern	n
style	style	n
william	william	n
sort	sort	n
dark	dark	j
largest	large	j
thus	thus	r
original	original	j
speech	speech	n
access	access	n
minute	minute	n
structure	structure	n
immediately	immediately	r
lack	lack	n
tree	tree	n
becomes	become	v
sky	sky	n
figure	figure	n
press	press	n
japan	japan	n
hope	hope	v
employees	employee	n
remains	remain	v
spoke	speak	v
needs	need	v
gun	gun	n
democratic	democratic	j
mike	mike	n
april	april	n
manager	manager	n
professional	professional	j
running	run	v
jack	jack	n
supposed	supposed	j
et	et	r
perfect	perfect	j
spring	spring	n
safety	safety	n
european	european	j
read	read	v
homes	home	n
debate	debate	n
telling	tell	v
factors	factor	n
audience	audience	n
highly	highly	r
holding	hold	v
south	south	n
peter	peter	n
includes	include	v
senior	senior	j
build	build	v
insurance	insurance	n
memory	memory	n
property	property	n
ready	ready	j
legs	leg	n
agreement	agreement	n
global	global	j
june	june	n
begin	begin	v
despite	despite	i
status	status	n
inside	inside	i
biggest	big	j
responsibility	responsibility	n
september	september	n
stars	star	n
civil	civil	j
provides	provide	v
blue	blue	j
christmas	christmas	n
variety	variety	n
laws	law	n
past	past	j
republican	republican	n
considered	consider	v
animals	animal	n
relations	relation	n
corner	corner	n
continues	continue	v
joe	joe	n
red	red	j
eventually	eventually	r
previous	previous	j
sides	side	n
sea	sea	n
points	point	n
tiny	tiny	j
beginning	beginning	n
rich	rich	j
since	since	i
afraid	afraid	j
decades	decade	n
allow	allow	v
asking	ask	v
outside	outside	i
teams	team	n
friday	friday	n
protect	protect	v
investment	investment	n
leadership	leadership	n
houston	houston	n
seeing	see	v
participants	participant	n
park	park	n
images	image	n
putting	put	v
brown	brown	n
station	station	n
worked	work	v
items	item	n
strategy	strategy	n
charles	charles	n
soldiers	soldier	n
kid	kid	n
equipment	equipment	n
ice	ice	n
sports	sport	n
shows	show	v
willing	willing	j
responsible	responsible	j
council	council	n
close	close	j
plant	plant	n
agency	agency	n
foot	foot	n
statement	statement	n
artist	artist	n
freedom	freedom	n
sorry	sorry	j
pieces	piece	n
decisions	decision	n
saturday	saturday	n
purpose	purpose	n
distance	distance	n
interested	interested	j
doctors	doctor	n
crisis	crisis	n
earth	earth	n
additional	additional	j
collection	collection	n
nice	nice	j
clothes	clothes	n
independent	independent	j
funds	fund	n
professor	professor	n
set	set	n
thinking	think	v
camera	camera	n
conference	conference	n
section	section	n
suggests	suggest	v
text	text	n
sources	source	n
parties	party	n
tough	tough	j
materials	material	n
wind	wind	n
magazine	magazine	n
policies	policy	n
task	task	n
georgia	georgia	n
changed	change	v
explain	explain	v
names	name	n
sees	see	v
slightly	slightly	r
therefore	therefore	r
indeed	indeed	r
iraqi	iraqi	j
threat	threat	n
winter	winter	n
rather	rather	i
version	version	n
brought	bring	v
mostly	mostly	r
cities	city	n
thinks	think	v
smaller	small	j
investigation	investigation	n
following	following	j
wonderful	wonderful	j
organizations	organization	n
wide	wide	j
relatively	relatively	r
coffee	coffee	n
attack	attack	n
begins	begin	v
brain	brain	n
vision	vision	n
final	final	j
write	write	v
officer	officer	n
streets	street	n
material	material	n
fall	fall	n
regular	regular	j
wearing	wear	v
institutions	institution	n
latest	late	j
generation	generation	n
meeting	meeting	n
further	far	r
bag	bag	n
colorado	colorado	n
kept	keep	v
active	active	j
fear	fear	n
interests	interest	n
discussion	discussion	n
january	january	n
competition	competition	n
develop	develop	v
kinds	kind	n
officers	officer	n
bank	bank	n
tomorrow	tomorrow	r
taxes	tax	n
decided	decide	v
held	hold	v
authority	authority	n
spend	spend	v
network	network	n
kill	kill	v
march	march	n
watched	watch	v
step	step	n
walls	wall	n
models	model	n
army	army	n
aware	aware	j
twice	twice	r
experts	expert	n
web	web	n
lead	lead	v
needed	need	v
communities	community	n
labor	labor	n
steps	step	n
instance	instance	r
soft	soft	j
chinese	chinese	j
scientists	scientist	n
fingers	finger	n
credit	credit	n
citizens	citizen	n
younger	young	j
average	average	j
opinion	opinion	n
committee	committee	n
song	song	n
christian	christian	j
apartment	apartment	n
saddam	saddam	n
avoid	avoid	v
neighborhood	neighborhood	n
institute	institute	n
decade	decade	n
mission	mission	n
jackson	jackson	n
next	next	i
shoulder	shoulder	n
virginia	virginia	n
prison	prison	n
baseball	baseball	n
annual	annual	j
identity	identity	n
jones	jones	n
interview	interview	n
worth	worth	i
earlier	early	r
tells	tell	v
dangerous	dangerous	j
while	while	n
denver	denver	n
strength	strength	n
absolutely	absolutely	r
killed	kill	v
sign	sign	n
stand	stand	v
residents	resident	n
historical	historical	j
eat	eat	v
rock	rock	n
watch	watch	v
safe	safe	j
screen	screen	n
condition	condition	n
appropriate	appropriate	j
bright	bright	j
importance	importance	n
present	present	j
fully	fully	r
williams	williams	n
germany	germany	n
lawyer	lawyer	n
river	river	n
plane	plane	n
construction	construction	n
types	type	n
sites	site	n
yards	yard	n
crowd	crowd	n
lee	lee	n
conflict	conflict	n
lose	lose	v
famous	famous	j
context	context	n
obviously	obviously	r
associated	associate	v
goals	goal	n
indian	indian	j
expect	expect	v
possibility	possibility	n
russia	russia	n
newspaper	newspaper	n
alive	alive	j
understanding	understanding	n
weekend	weekend	n
researchers	researcher	n
pictures	picture	n
track	track	n
boston	boston	n
conversation	conversation	n
compared	compare	v
october	october	n
literature	literature	n
bar	bar	n
reach	reach	v
letters	letter	n
martin	martin	n
attorney	attorney	n
alone	alone	r
hotel	hotel	n
canada	canada	n
familiar	familiar	j
charges	charge	n
starts	start	v
london	london	n
writer	writer	n
faith	faith	n
relationships	relationship	n
customers	customer	n
sam	sam	n
intelligence	intelligence	n
costs	cost	n
save	save	v
becoming	become	v
calling	call	v
reform	reform	n
mark	mark	n
academic	academic	j
allowed	allow	v
moral	moral	j
gotten	get	v
august	august	n
district	district	n
individual	individual	j
sell	sell	v
subjects	subject	n
star	star	n
november	november	n
met	meet	v
yesterday	yesterday	r
garden	garden	n
sit	sit	v
feels	feel	v
classes	class	n
factor	factor	n
video	video	n
instead	instead	i
experiences	experience	n
date	date	n
battle	battle	n
capital	capital	n
standing	stand	v
potential	potential	j
artists	artist	n
details	detail	n
french	french	j
concept	concept	n
editor	editor	n
neck	neck	n
focus	focus	n
quick	quick	j
failure	failure	n
negative	negative	j
anyway	anyway	r
requires	require	v
cause	cause	n
determine	determine	v
england	england	n
advantage	advantage	n
scale	scale	n
operations	operation	n
justice	justice	n
steve	steve	n
follow	follow	v
software	software	n
larry	larry	n
boat	boat	n
deep	deep	j
educational	educational	j
breath	breath	n
protection	protection	n
required	require	v
increasingly	increasingly	r
smile	smile	n
senator	senator	n
plastic	plastic	n
argument	argument	n
tradition	tradition	n
seconds	second	n
december	december	n
anymore	anymore	r
carefully	carefully	r
monday	monday	n
jesus	jesus	n
rule	rule	n
pounds	pound	n
scientific	scientific	j
card	card	n
apparently	apparently	r
unit	unit	n
democracy	democracy	n
feeling	feeling	n
football	football	n
challenge	challenge	n
act	act	n
thanks	thanks	n
ought	ought	v
greatest	great	j
consider	consider	v
corporate	corporate	j
progress	progress	n
wait	wait	v
middle	middle	n
send	send	v
commercial	commercial	j
complete	complete	j
jury	jury	n
calls	call	v
primary	primary	j
extent	extent	n
somewhere	somewhere	r
largely	largely	r
domestic	domestic	j
truck	truck	n
impossible	impossible	j
female	female	j
scott	scott	n
russian	russian	j
emotional	emotional	j
club	club	n
lawyers	lawyer	n
opened	open	v
keeping	keep	v
path	path	n
moved	move	v
sunday	sunday	n
religion	religion	n
france	france	n
speed	speed	n
chairman	chairman	n
henry	henry	n
camp	camp	n
forms	form	n
operation	operation	n
die	die	v
hell	hell	n
ethnic	ethnic	j
direct	direct	j
movies	movie	n
animal	animal	n
warm	warm	j
cell	cell	n
supreme	supreme	j
strange	strange	j
machine	machine	n
victory	victory	n
plans	plan	n
prevent	prevent	v
healthy	healthy	j
restaurant	restaurant	n
carolina	carolina	n
perspective	perspective	n
birth	birth	n
return	return	v
arts	art	n
background	background	n
ship	ship	n
chest	chest	n
wine	wine	n
reduce	reduce	v
created	create	v
appeared	appear	v
built	build	v
expensive	expensive	j
advice	advice	n
cells	cell	n
serve	serve	v
bodies	body	n
markets	market	n
band	band	n
murder	murder	n
obvious	obvious	j
tests	test	n
walk	walk	v
gon	go	v
houses	house	n
agencies	agency	n
actual	actual	j
village	village	n
dream	dream	n
shape	shape	n
comfortable	comfortable	j
elements	element	n
pattern	pattern	n
unique	unique	j
opportunities	opportunity	n
significantly	significantly	r
victims	victim	n
desk	desk	n
offer	offer	v
influence	influence	n
inches	inch	n
adults	adult	n
produce	produce	v
survey	survey	n
believes	believe	v
spirit	spirit	n
improve	improve	v
pick	pick	v
feelings	feeling	n
owner	owner	n
ext	ext	n
vote	vote	n
creating	create	v
works	work	v
jewish	jewish	j
angry	angry	j
records	record	n
voters	voter	n
frank	frank	n
classroom	classroom	n
flight	flight	n
sport	sport	n
extra	extra	j
stores	store	n
spot	spot	n
total	total	j
buildings	building	n
spent	spend	v
showing	show	v
al	al	n
mental	mental	j
contract	contract	n
imagine	imagine	v
hardly	hardly	r
painting	painting	n
broke	break	v
urban	urban	j
lights	light	n
won	win	v
favorite	favorite	j
solution	solution	n
wood	wood	n
grow	grow	v
contrast	contrast	n
weather	weather	n
internet	internet	n
increase	increase	v
extremely	extremely	r
measures	measure	n
basically	basically	r
shoes	shoe	n
empty	empty	j
candidate	candidate	n
museum	museum	n
actions	action	n
projects	project	n
snow	snow	n
developed	develop	v
partner	partner	n
raise	raise	v
driver	driver	n
worst	bad	j
possibly	possibly	r
cut	cut	v
windows	window	n
tend	tend	v
frequently	frequently	r
doors	door	n
green	green	j
tall	tall	j
kennedy	kennedy	n
presidential	presidential	j
starting	start	v
figures	figure	n
expected	expect	v
folks	folk	n
japanese	japanese	j
signs	sign	n
internal	internal	j
regional	regional	j
explains	explain	v
lunch	lunch	n
judge	judge	n
accept	accept	v
nose	nose	n
rain	rain	n
holds	hold	v
mom	mom	n
allows	allow	v
candidates	candidate	n
aid	aid	n
sight	sight	n
truly	truly	r
expression	expression	n
scores	score	n
metal	metal	n
puts	put	v
desire	desire	n
somehow	somehow	r
traffic	traffic	n
hollywood	hollywood	n
balance	balance	n
union	union	n
addition	addition	r
sugar	sugar	n
opposition	opposition	n
otherwise	otherwise	r
businesses	business	n
border	border	n
pair	pair	n
reaction	reaction	n
salt	salt	n
bus	bus	n
hole	hole	n
beside	beside	i
davis	davis	n
due	due	i
title	title	n
cnn	cnn	n
methods	method	n
tuesday	tuesday	n
fields	field	n
second	second	n
tape	tape	n
that	that	r
designed	design	v
entirely	entirely	r
agree	agree	v
abuse	abuse	n
male	male	j
india	india	n
bigger	big	j
quarter	quarter	n
shook	shake	v
patterns	pattern	n
mountain	mountain	n
chris	chris	n
chief	chief	j
capacity	capacity	n
pass	pass	v
dan	dan	n
basketball	basketball	n
reports	report	n
findings	finding	n
coverage	coverage	n
photograph	photograph	n
jordan	jordan	n
views	view	n
cold	cold	j
carry	carry	v
thoughts	thought	n
pool	pool	n
hussein	hussein	n
youth	youth	n
dry	dry	j
commitment	commitment	n
knowing	know	v
gore	gore	n
nations	nation	n
anywhere	anywhere	r
colleagues	colleague	n
living	live	v
fans	fan	n
welfare	welfare	n
tour	tour	n
typical	typical	j
silence	silence	n
leg	leg	n
method	method	n
talked	talk	v
aside	aside	r
begun	begin	v
sample	sample	n
fight	fight	v
wild	wild	j
southern	southern	j
led	lead	v
attitude	attitude	n
assessment	assessment	n
essential	essential	j
island	island	n
terrible	terrible	j
reagan	reagan	n
learned	learn	v
somewhat	somewhat	r
lived	live	v
executive	executive	n
currently	currently	r
birds	bird	n
quiet	quiet	j
stone	stone	n
grown	grow	v
towards	towards	i
keeps	keep	v
paid	pay	v
cash	cash	n
attacks	attack	n
highest	high	j
fuel	fuel	n
necessarily	necessarily	r
options	option	n
played	play	v
turning	turn	v
wilson	wilson	n
thin	thin	j
forest	forest	n
farm	farm	n
surgery	surgery	n
merely	merely	r
objects	object	n
gender	gender	n
surprise	surprise	n
confidence	confidence	n
account	account	n
dad	dad	n
degrees	degree	n
crazy	crazy	j
features	feature	n
lips	lip	n
february	february	n
rooms	room	n
iran	iran	n
totally	totally	r
measure	measure	n
parent	parent	n
catholic	catholic	j
relief	relief	n
useful	useful	j
realized	realize	v
circumstances	circumstance	n
drawn	draw	v
practices	practice	n
daily	daily	j
harry	harry	n
apart	apart	r
strategies	strategy	n
pages	page	n
bringing	bring	v
coach	coach	n
barely	barely	r
charge	charge	n
add	add	v
concerns	concern	n
agent	agent	n
drove	drive	v
npr	npr	n
meat	meat	n
seriously	seriously	r
horse	horse	n
english	english	j
join	join	v
vietnam	vietnam	n
owners	owner	n
fbi	fbi	n
uses	use	v
notion	notion	n
adds	add	v
beauty	beauty	n
attempt	attempt	n
damage	damage	n
share	share	n
broad	broad	j
critics	critic	n
danger	danger	n
suggest	suggest	v
asks	ask	v
published	publish	v
rare	rare	j
vast	vast	j
smiled	smile	v
enormous	enormous	j
teeth	tooth	n
sent	send	v
north	north	n
clients	client	n
funny	funny	j
paris	paris	n
forced	force	v
followed	follow	v
respect	respect	n
songs	song	n
wish	wish	v
equal	equal	j
estate	estate	n
ancient	ancient	j
sits	sit	v
legislation	legislation	n
target	target	n
search	search	n
shoulders	shoulder	n
tired	tired	j
manner	manner	n
sir	sir	n
league	league	n
pulled	pull	v
lake	lake	n
rural	rural	j
worry	worry	v
heads	head	n
cards	card	n
faculty	faculty	n
providing	provide	v
era	era	n
agents	agent	n
moments	moment	n
facts	fact	n
governor	governor	n
tony	tony	n
hall	hall	n
prove	prove	v
louis	louis	n
remain	remain	v
appear	appear	v
beneath	beneath	i
first	first	r
careful	careful	j
closely	closely	r
growing	growing	j
function	function	n
stopped	stop	v
initial	initial	j
massive	massive	j
loved	love	v
thursday	thursday	n
everywhere	everywhere	r
aspects	aspect	n
proper	proper	j
exercise	exercise	n
primarily	primarily	r
german	german	j
please	please	r
korea	korea	n
percentage	percentage	n
ultimately	ultimately	r
crew	crew	n
fund	fund	n
shirt	shirt	n
unusual	unusual	j
authorities	authority	n
identified	identify	v
industrial	industrial	j
consumers	consumer	n
finding	find	v
illegal	illegal	j
placed	place	v
regime	regime	n
dogs	dog	n
dealing	deal	v
maintain	maintain	v
added	add	v
proud	proud	j
bowl	bowl	n
combination	combination	n
carrying	carry	v
provided	provide	v
medicine	medicine	n
minority	minority	n
liked	like	v
units	unit	n
secretary	secretary	n
core	core	n
virtually	virtually	r
guilty	guilty	j
shop	shop	n
stress	stress	n
lady	lady	n
decide	decide	v
mistake	mistake	n
separate	separate	j
ben	ben	n
runs	run	v
teach	teach	v
