account_number,account_name,family,source
0159,"Anzahlungen auf Wohnbauten auf eigenen Grundstücken Seite 1 0 age- und Kapitalkonten 10 Bohrgeräte, Laser u. a. 11 Kleingeräte 00 Maschinengebundene Werkzeuge 00 Technische Anlagen 00 Transportanlagen und Ähnliches 00 Betriebsvorrichtungen 00 Technische Anlagen und Maschinen im Bau 00 Anzahlungen auf technische Anlagen und Maschinen 00 Andere Anlagen, Betriebs- und Geschäftsausstattung 10 Fuhrpark 11 Bau- und Mannschaftswagen 00 Andere Anlagen, Betriebs- und Geschäftsausstattung 00 Andere Anlagen 00 Pkw 10 Fuhrpark - Busse und Kombi 70 Fuhrpark - Pkw - gewerblich 00 Pkw 00 Lkw 10 Fuhrpark - Lkw 00 Lkw 00 Sonstige Transportmittel 10 Fuhrpark Hänger/ Tieflader 11 Transporter und Pritschen 12 Stapler 90 Sonstige Transportgeräte 00 Sonstige Transportmittel 00 Betriebsausstattung 10 Bauwagen und Baucontainer 11 Baustellenausstattung 12 Einrichtung Bauhof 13 Einrichtung Werkstatt 14 Wohnwagen und Baracken 00 Betriebsausstattung 00 Geschäftsausstattung 10 EDV-Hardware 11 Kommunikationsanlagen 00 Geschäftsausstattung 00 Büroeinrichtung 00 Ladeneinrichtung 00 Werkzeuge 10 Werkzeuge außerhalb der Baugeräteliste (BGL) 00 Werkzeuge 00 Einbauten in fremde Grundstücke 00 Gerüst- und Schalungsmaterial 10 Genormte Rüstung und Schalung Seite 2 0 lage- und Kapitalkonten 0 00 Ausleihungen an Unternehmen, mit denen ein Beteiligungs- verhältnis besteht 3 00 Ausleihungen an Unternehmen, mit denen ein Beteiligungs- verhältnis besteht, Personengesellschaften 4 00 Ausleihungen an Unternehmen, mit denen ein Beteiligungs- verhältnis besteht, Kapitalgesellschaften 5 00 Wertpapiere des Anlagevermögens 0 00 Wertpapiere mit Gewinnbeteiligungsan- sprüchen, die dem Teileinkünfteverfahren unterliegen 5 00 Festverzinsliche Wertpapiere 8 00 Anteile einer GmbH & Co. KG an einer Komplementär-GmbH 0 00 Übrige sonstige Ausleihungen 0 00 Darlehen 0 00 Genossenschaftsanteile zum langfristigen Verbleib 0 00 Ausleihungen an Gesellschafter 2 00 Ausleihungen an GmbH-Gesellschafter 83 00 83 99 84 00 Ausleihungen an persönlich haftende Gesellschafter 6 00 Ausleihungen an Kommanditisten 0 00 Ausleihungen an nahe stehende Personen 5 00 Rückdeckungsansprüche aus Lebensversicherungen zum langfristigen Verbleib 0 00 Anleihen, nicht konvertibel 1 00 Anleihen, nicht konvertibel - Restlaufzeit bis 1 Jahr 5 00 Anleihen, nicht konvertibel - Restlaufzeit 1 bis 5 Jahre 0 00 Anleihen, nicht konvertibel - Restlaufzeit größer 5 Jahre 5 00 Anleihen, konvertibel 6 00 Anleihen, konvertibel - Restlaufzeit bis 1 Jahr 0 00 Anleihen, konvertibel - Restlaufzeit 1 bis 5 Jahre 5 00 Anleihen, konvertibel - Restlaufzeit größer 5 Jahre Seite 3 0 ge- und Kapitalkonten 00 Verbindlichkeiten ge- genüber Unternehmen, mit denen ein Beteili- gungsverhältnis besteht 00 Verbindlichkeiten ge- genüber Unternehmen, mit denen ein Beteili- gungsverhältnis besteht - Restlaufzeit bis 1 Jahr 00 Verbindlichkeiten ge- genüber Unternehmen, mit denen ein Beteili- gungsverhältnis besteht - Restlaufzeit 1 bis 5 Jahre 00 Verbindlichkeiten ge- genüber Unternehmen, mit denen ein Beteili- gungsverhältnis besteht - Restlaufzeit größer 5 Jahre 00 Verbindlichkeiten ge- genüber Gesellschaftern 00 Verbindlichkeiten ge- genüber Gesellschaftern - Restlaufzeit bis 1 Jahr 00 Verbindlichkeiten ge- genüber Gesellschaftern - Restlaufzeit 1 bis 5 Jahre 00 Verbindlichkeiten ge- genüber Gesellschaftern - Restlaufzeit größer 5 Jahre 00 Verbindlichkeiten gegenüber Gesellschaftern für offene Ausschüttungen 00 Verbindlichkeiten gegenüber typisch stillen Gesellschaftern 00 Verbindlichkeiten gegenüber typisch stillen Gesellschaftern - Restlaufzeit bis 1 Jahr 00 Verbindlichkeiten gegenüber typisch stillen Gesellschaftern - Restlaufzeit 1 bis 5 Jahre 00 Verbindlichkeiten gegenüber typisch stillen Gesellschaftern - Restlaufzeit größer 5 Jahre 00 Verbindlichkeiten gegenüber atypisch stillen Gesellschaftern Seite 4 0 Anlage- und Kapitalkonten",Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0771,Verbindlichkeiten Ei gegenüber atypisch no stillen Gesellschaftern Ka - Restlaufzeit bis 1 Jahr,Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0774,Verbindlichkeiten gegenüber atypisch stillen Gesellschaftern - Restlaufzeit ei 1 bis 5 Jahre Na,Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0777,Verbindlichkeiten gegenüber atypisch Ka stillen Gesellschaftern - Restlaufzeit größer 5 Jahre,Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0780,Partiarische Darlehen,Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0781,Partiarische Darlehen - Restlaufzeit bis 1 Jahr,Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0784,Partiarische Darlehen - Restlaufzeit 1 bis 5 Jahre,Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0787,Partiarische Darlehen - Restlaufzeit größer 5 Jahre,Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0790,"Sonstige Verbindlichkeiten, vor Restlaufzeitdifferenzierung (nur Bilanzierer)",Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0799,Gegenkonto 0730-0789 und 1665-1678 und 1695-1698 bei Ge Aufteilung der Konten la 0790-0798 An,Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
