account_number,account_name,family,source
050700,"Ausleihungen an ver- sprüche aus Le- bundene Unternehmen, bensversicherun- Kapitalgesellschaften gen",Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
050800,"Ausleihungen an ver- Anleihen bundene Unternehmen, Einzelunternehmen",Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
050900,"Anteile an herrschender oder mehrheitlich beteiligter Gesellschaft, Personengesellschaften",Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
051000,Beteiligungen,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
051300,Typisch stille Beteiligungen,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
051600,Atypisch stille Beteiligungen,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
051700,Beteiligungen an Kapitalgesellschaften,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
051800,Beteiligungen an Personengesellschaften,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
051900,"Beteiligung einer GmbH & Co. KG an einer Komplementär-GmbH Eigenformular, Nachdruck – auch auszugsweise – nic 0 Bilanz-/GuV- Anlage- und Kapitalkonten Posten HGB",Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
058400,"Ausleihungen an persönlich haftende Gesellschafter 586 00 Ausleihungen an Kommanditisten 590 00 Ausleihungen an nahe stehende Personen 595 00 Rückdeckungsansprüche aus Lebensversicherungen zum langfristigen Verbleib 600 00 Anleihen, nicht konvertibel 601 00 Anleihen, nicht konvertibel - Restlaufzeit bis 1 Jahr 605 00 Anleihen, nicht konvertibel - Restlaufzeit 1 bis 5 Jahre 610 00 Anleihen, nicht konvertibel - Restlaufzeit größer 5 Jahre 615 00 Anleihen, konvertibel 616 00 Anleihen, konvertibel - Restlaufzeit bis 1 Jahr 620 00 Anleihen, konvertibel - Restlaufzeit 1 bis 5 Jahre 625 00 Anleihen, konvertibel - Restlaufzeit größer 5 Jahre Seite 3 0 lage- und Kapitalkonten 15 00 Verbindlichkeiten ge- genüber Unternehmen, mit denen ein Beteili- gungsverhältnis besteht 16 00 Verbindlichkeiten ge- genüber Unternehmen, mit denen ein Beteili- gungsverhältnis besteht - Restlaufzeit bis 1 Jahr 20 00 Verbindlichkeiten ge- genüber Unternehmen, mit denen ein Beteili- gungsverhältnis besteht - Restlaufzeit 1 bis 5 Jahre 25 00 Verbindlichkeiten ge- genüber Unternehmen, mit denen ein Beteili- gungsverhältnis besteht - Restlaufzeit größer 5 Jahre 30 00 Verbindlichkeiten ge- genüber Gesellschaftern 31 00 Verbindlichkeiten ge- genüber Gesellschaftern - Restlaufzeit bis 1 Jahr 40 00 Verbindlichkeiten ge- genüber Gesellschaftern - Restlaufzeit 1 bis 5 Jahre 50 00 Verbindlichkeiten ge- genüber Gesellschaftern - Restlaufzeit größer 5 Jahre 55 00 Verbindlichkeiten gegenüber Gesellschaftern für offene Ausschüttungen 60 00 Verbindlichkeiten gegenüber typisch stillen Gesellschaftern 61 00 Verbindlichkeiten gegenüber typisch stillen Gesellschaftern - Restlaufzeit bis 1 Jahr 64 00 Verbindlichkeiten gegenüber typisch stillen Gesellschaftern - Restlaufzeit 1 bis 5 Jahre 67 00 Verbindlichkeiten gegenüber typisch stillen Gesellschaftern - Restlaufzeit größer 5 Jahre 70 00 Verbindlichkeiten gegenüber atypisch stillen Gesellschaftern Seite 4 0 Anlage- und Kapitalkonten",Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
063000,"Verbindlichkeiten Verbindlichkeiten gegenüber gegenüber Unter- Kreditinstituten nehmen, mit denen ein Beteili- gungsverhältnis besteht oder For- derungen gegen Unternehmen, mit",Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
063100,Verbindlichkeiten denen ein Beteili gegenüber gungsverhältnis Kreditinstituten besteht - Restlaufzeit bis 1 Jahr,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
064000,Verbindlichkeiten gegenüber Kreditinstituten - Restlaufzeit 1 bis 5 Jahre,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
065000,Verbindlichkeiten gegenüber Kreditinstituten - Restlaufzeit größer 5 Jahre,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
066000,Verbindlichkeiten gegenüber Kreditinstituten aus Teilzahlungsverträgen,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
066100,Verbindlichkeiten gegenüber Kreditinstituten aus Verbindlichkeiten Teilzahlungsverträgen gegenüber Gesell- - Restlaufzeit bis 1 Jahr schaftern oder,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
067000,Verbindlichkeiten Forderungen ge- gegenüber gen Gesellschafte Kreditinstituten aus oder Sonstige Teilzahlungsverträgen Vermögensge- - Restlaufzeit genstände 1 bis 5 Jahre,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
068000,Verbindlichkeiten gegenüber Kreditinstituten aus Verbindlichkeiten Teilzahlungsverträgen gegenüber Gesell- - Restlaufzeit größer schaftern 5 Jahre,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
069000,"Verbindlichkeiten gegenüber Kreditinstituten, vor Restlaufzeitdifferenzierung",Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
069900,Gegenkonto 0630-0689 bei Aufteilung der Konten 0690-0698,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
070000,Verbindlichkeiten ge- sonstige Verbind- genüber verbundenen lichkeiten Unternehmen,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
070100,Verbindlichkeiten ge- genüber verbundenen Unternehmen - Restlaufzeit bis 1 Jahr,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
070500,Verbindlichkeiten ge- genüber verbundenen Unternehmen - Restlaufzeit 1 bis 5 Jahre,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
071000,"Verbindlichkeiten ge- genüber verbundenen Unternehmen - Restlaufzeit größer 5 Jahre Eigenformular, Nachdruck – auch auszugsweise – nic 0 Bilanz-/G Anlage- und Kapitalkonten Posten HG",Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
077100,Verbindlichkeiten Eingefordert gegenüber atypisch noch aussteh stillen Gesellschaftern Kapitaleinla - Restlaufzeit bis 1 Jahr,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
077400,Verbindlichkeiten gegenüber atypisch stillen Gesellschaftern - Restlaufzeit eingefordert 1 bis 5 Jahre Nachschüsse,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
077700,Verbindlichkeiten gegenüber atypisch Kapitalrückl stillen Gesellschaftern - Restlaufzeit größer 5 Jahre,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
078000,Partiarische Darlehen,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
078100,Partiarische Darlehen - Restlaufzeit bis 1 Jahr,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
078400,Partiarische Darlehen - Restlaufzeit 1 bis 5 Jahre,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
078700,Partiarische Darlehen - Restlaufzeit größer 5 Jahre,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
079000,"Sonstige Verbindlichkeiten, vor Restlaufzeitdifferenzierung (nur Bilanzierer)",Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
