rank,lemma,PoS,freq,perMil,disp
319,create,v,314631,316.84,0.96
320,information,n,314341,316.55,0.95
321,car,n,313437,315.64,0.97
322,learn,v,312649,314.85,0.97
323,least,r,311569,313.76,0.98
324,already,r,311502,313.71,0.99
325,kill,v,307305,309.46,0.98
326,minute,n,306541,308.19,0.97
327,party,n,304325,306.46,0.97
328,include,v,304197,306.33,0.94
329,stand,v,303462,305.59,0.95
330,together,r,302942,305.1,0.99
331,back,n,302390,304.51,0.97
332,follow,v,300266,302.38,0.98
333,health,n,300262,302.37,0.93
334,remember,v,298221,300.32,0.98
335,often,r,295709,297.79,0.96
336,reason,n,295577,297.65,0.97
337,speak,v,295523,297.6,0.98
338,ago,r,294921,296.99,0.98
339,set,v,293144,295.2,0.98
340,black,j,293101,295.16,0.97
341,member,n,292596,294.65,0.96
342,community,n,290489,292.53,0.94
343,once,r,290446,292.49,0.98
344,social,j,290372,292.41,0.91
345,news,n,289175,291.21,0.94
346,allow,v,288559,290.59,0.97
347,win,v,288308,290.33,0.96
348,body,n,287817,289.84,0.97
349,lead,v,285740,287.75,0.97
350,continue,v,282352,284.34,0.97
351,whether,c,280973,282.95,0.96
352,enough,r,280789,282.76,0.98
353,spend,v,280371,282.34,0.98
354,level,n,279770,281.74,0.93
355,able,j,279559,281.52,0.97
356,political,j,279410,281.37,0.93
357,almost,r,279393,281.37,0.98
358,boy,n,279283,281.25,0.97
359,university,n,279132,281.09,0.93
360,before,c,276286,278.23,0.98
361,stay,v,275504,277.44,0.98
362,add,v,275233,277.17,0.95
363,later,r,274178,276.1,0.98
364,change,n,274132,276.06,0.95
365,five,m,270274,272.17,0.98
366,probably,r,269732,271.63,0.98
367,center,n,268821,270.71,0.95
368,among,i,267798,269.68,0.94
369,face,n,266458,268.33,0.92
370,public,j,265061,266.92,0.95
371,die,v,264537,266.4,0.99
372,food,n,262697,264.54,0.97
373,else,r,261804,263.64,0.98
374,history,n,261045,262.88,0.96
375,buy,v,260201,262.03,0.97
376,result,n,259961,261.79,0.93
377,morning,n,259129,260.95,0.95
378,off,i,258852,260.67,0.98
379,parent,n,258181,260.0,0.98
380,office,n,258157,259.97,0.97
381,course,r,257245,259.05,0.98
382,send,v,256309,258.11,0.99
383,research,n,255123,256.92,0.9
384,walk,v,253671,255.45,0.95
385,door,n,252623,254.4,0.91
386,white,j,251664,253.43,0.97
387,several,d,251543,253.31,0.96
388,court,n,250891,252.65,0.93
389,home,r,250331,252.09,0.98
390,grow,v,248803,250.55,0.98
391,better,j,247453,249.19,0.98
392,open,v,247043,248.78,0.97
393,moment,n,246362,248.09,0.96
394,including,i,245445,247.17,0.95
395,consider,v,244644,246.36,0.96
396,both,r,244397,246.11,0.97
397,such,i,244165,245.88,0.93
398,little,r,244049,245.76,0.98
399,within,i,243714,245.43,0.95
400,second,m,243485,245.2,0.97
401,late,j,242755,244.46,0.99
402,street,n,242552,244.26,0.97
403,free,j,242338,244.04,0.97
404,better,r,241827,243.53,0.99
405,everyone,p,241313,243.01,0.98
406,policy,n,240181,241.87,0.94
407,table,n,238887,240.57,0.93
408,sorry,j,237541,239.21,0.91
409,care,n,237259,238.93,0.97
410,low,j,237027,238.69,0.96
411,human,j,236187,237.85,0.96
412,please,r,236175,237.83,0.94
413,hope,v,235945,237.6,0.98
414,True,j,235467,235.92,0.98
415,process,n,235304,236.96,0.93
416,teacher,n,234642,236.29,0.86
417,data,n,234516,236.16,0.9
418,offer,v,234189,235.83,0.97
419,death,n,233153,234.79,0.99
420,whole,j,233110,234.75,0.98
421,experience,n,232376,234.01,0.94
422,plan,n,231629,233.26,0.97
423,easy,j,231262,200.09,0.98
424,education,n,231036,232.66,0.88
425,build,v,230071,231.69,0.97
426,expect,v,229855,231.47,0.98
427,fall,v,229161,230.77,0.97
428,himself,p,228757,230.36,0.95
429,age,n,228610,230.22,0.96
430,hard,j,228234,229.84,0.98
431,sense,n,226539,228.13,0.98
432,across,i,226402,227.99,0.96
433,show,n,225884,227.47,0.96
434,early,j,224665,226.24,0.96
435,college,n,224634,226.21,0.95
436,music,n,222767,224.33,0.95
437,appear,v,221287,222.84,0.97
438,mind,n,220441,221.99,0.98
439,class,n,219160,220.7,0.96
440,police,n,219041,220.58,0.93
441,use,n,218006,219.54,0.92
442,effect,n,217999,219.53,0.92
443,season,n,217695,219.22,0.91
444,tax,n,217131,218.66,0.93
445,heart,n,216345,217.87,0.98
446,son,n,216216,217.74,0.99
447,art,n,215981,217.5,0.94
448,possible,j,213803,215.31,0.97
449,serve,v,213511,215.01,0.96
450,break,v,213364,214.86,0.99
451,although,c,212390,213.88,0.94
452,end,v,212174,213.66,0.97
453,market,n,210848,212.33,0.95
454,even,c,210702,212.18,0.97
455,air,n,210307,211.78,0.97
456,force,n,210010,211.49,0.96
457,require,v,209616,211.09,0.94
458,foot,n,209334,210.8,0.95
459,up,i,209243,210.71,0.98
460,listen,v,208819,210.29,0.97
461,agree,v,208506,209.97,0.96
462,according,i,208405,209.87,0.94
463,anyone,p,207907,209.37,0.97
464,baby,n,207577,209.04,0.97
465,wrong,j,206856,208.31,0.98
466,love,n,206700,208.15,0.98
467,cut,v,205886,207.33,0.97
468,decide,v,205447,206.89,0.98
469,republican,n,204793,206.23,0.9
470,full,j,204252,205.69,0.98
471,behind,i,203530,204.96,0.95
472,pass,v,203033,204.46,0.98
473,interest,n,202642,204.07,0.95
474,sometimes,r,201833,203.25,0.99
475,security,n,201542,202.96,0.96
476,eat,v,201315,202.73,0.98
477,report,v,201020,202.43,0.94
478,control,n,200879,202.29,0.96
479,rate,n,200828,202.24,0.94
480,local,j,200668,202.08,0.96
481,suggest,v,200560,201.97,0.95
482,report,n,200188,201.59,0.96
483,nation,n,200021,201.43,0.95
484,sell,v,198982,200.38,0.97
485,action,n,198530,199.92,0.96
486,support,v,198185,199.58,0.95
487,wife,n,197306,198.69,0.98
488,decision,n,196426,197.81,0.96
489,receive,v,196239,197.62,0.96
490,value,n,195639,197.01,0.93
491,base,v,195474,196.85,0.94
492,pick,v,195443,196.82,0.98
493,phone,n,194941,196.31,0.98
494,thanks,n,194839,196.21,0.95
495,event,n,194748,196.12,0.96
496,drive,v,194360,195.73,0.98
497,strong,j,193876,195.24,0.98
498,reach,v,193684,195.04,0.96
499,remain,v,193577,194.94,0.96
500,explain,v,193276,194.63,0.98
501,site,n,193251,194.61,0.95
502,hit,v,192969,194.32,0.98
503,pull,v,192457,193.81,0.94
504,church,n,191872,193.22,0.96
505,model,n,191448,192.79,0.91
506,perhaps,r,191398,192.74,0.98
507,relationship,n,191344,192.69,0.94
508,six,m,191200,192.54,0.98
509,fine,j,190779,192.12,0.97
510,movie,n,190773,192.11,0.97
511,field,n,190489,191.83,0.97
512,raise,v,190353,191.69,0.98
513,less,r,190003,191.34,0.96
514,player,n,189280,190.61,0.92
515,couple,n,189272,190.6,0.98
516,million,m,188521,189.85,0.85
517,themselves,p,188414,189.74,0.97
518,record,n,187057,188.37,0.96
519,especially,r,186130,187.38,0.97
520,difference,n,185310,186.61,0.94
521,light,n,185287,186.59,0.95
522,development,n,185238,186.54,0.91
523,federal,j,185144,186.44,0.94
524,former,d,185057,186.36,0.94
525,role,n,184483,185.78,0.94
526,pretty,r,183711,185.0,0.97
527,myself,p,183232,184.52,0.97
528,view,n,182417,183.7,0.96
529,price,n,181918,183.2,0.95
530,effort,n,181751,183.03,0.95
531,nice,j,181568,182.84,0.96
532,quite,r,181432,182.71,0.98
533,along,i,181372,182.65,0.97
534,voice,n,181328,182.6,0.92
535,finally,r,181233,182.51,0.98
536,department,n,181181,182.45,0.95
537,either,r,181133,182.41,0.98
538,toward,i,180784,182.05,0.93
539,leader,n,180573,181.84,0.95
540,because,i,178859,180.12,0.97
541,photo,n,177976,179.23,0.91
542,wear,v,177786,179.04,0.96
543,space,n,177126,178.37,0.97
544,project,n,177076,178.32,0.95
545,return,v,176787,178.03,0.97
546,position,n,176578,177.82,0.97
547,special,j,176515,177.76,0.98
548,million,n,175586,176.82,0.9
549,film,n,175442,176.67,0.96
550,need,n,175440,176.67,0.95
551,major,j,175432,176.66,0.96
552,type,n,173975,175.2,0.95
553,town,n,173905,175.13,0.98
554,article,n,173819,175.04,0.93
555,road,n,173413,174.63,0.97
556,form,n,173161,174.38,0.94
557,chance,n,172820,174.03,0.99
558,drug,n,172756,173.97,0.95
559,economic,j,172153,173.36,0.92
560,situation,n,171026,172.23,0.97
561,choose,v,170716,171.92,0.97
562,practice,n,170654,171.85,0.91
563,cause,v,170629,171.83,0.97
564,happy,j,170573,171.77,0.98
565,science,n,170488,171.69,0.94
566,join,v,170302,171.5,0.95
567,teach,v,169673,170.87,0.96
568,early,r,169653,170.85,0.97
569,develop,v,168894,170.08,0.93
570,share,v,168892,170.08,0.96
571,yourself,p,168841,170.03,0.97
572,carry,v,168820,170.01,0.98
